feature,coef,se,odds_ratio,or_ci95_lo,or_ci95_hi
Avg_Daily_Usage_Hours,0.5275239424830371,0.974064789172188,1.6947308581680118,0.25117434913877856,11.434737231228931
Sleep_Hours_Per_Night,-0.7585517549917214,0.8394996460706383,0.4683442132601761,0.09036115309656183,2.4274402724796493
Mental_Health_Score,-2.4000694885061358,1.1056392903147918,0.09071164965337639,0.01038822134743227,0.7921089768529842
Age,-0.34624960585922576,0.684121039368885,0.7073359098825162,0.185054999389735,2.7036507582030773
Conflicts_Over_Social_Media,4.71624961169333,0.7817985900335671,111.74836602575695,24.14198719953858,517.2605389197298
Gender=Male,-0.0708350161482361,0.9650217483706662,0.9316155809760671,0.1405428453967908,6.17539504246577
Academic_Level=Undergraduate,-0.5956826756794322,1.5279899618550288,0.551186156015971,0.027584866560746456,11.013509088928544
Relationship_Status=In Relationship,-0.23643805664649592,2.6782854493227846,0.7894347810251873,0.0041452960164516635,150.3408371848303
Relationship_Status=Single,0.35541597455258506,2.676250420601998,1.4267740325476235,0.00752188533171863,270.63482759675173
Most_Used_Platform=Instagram,0.45699511016681815,0.9107761975678457,1.579321161613539,0.26498198536999856,9.412924157985945
Most_Used_Platform=LinkedIn,-0.027608272075550284,6.675879732482845,0.972769353094546,2.020648390089998e-06,468305.2325980548
Most_Used_Platform=Other,-0.06478920144494485,1.1310581742598882,0.9372650166659149,0.10211838643453103,8.602424520572988
Most_Used_Platform=TikTok,0.7814590717979087,1.0780206511032009,2.184657513346275,0.2641012890024244,18.071583325655475
Most_Used_Platform=Twitter,-0.2298065564761788,1.7443140055835662,0.7946873147500366,0.02602756305082577,24.263813211839953
Most_Used_Platform=WhatsApp,0.06736614765192825,4.098203915109541,1.0696870698889698,0.00034742354649073035,3293.474029165085
